tier_A_set,n_A_on_panel,B1_tnfa_nfkb_proximal,B2_il6_jak_stat3,B3_interferon_response,B4_downstream_arrest,B5_emt_ecm,B6_oxidative_stress,B7_secondary_senescence,total_memberships,B1_genes,B2_genes,B3_genes,B4_genes,B5_genes,B6_genes,B7_genes
A_core_arrest,6,0,0,0,0,0,0,0,0,,,,,,,
A_proliferation_down,2,0,0,0,0,0,0,0,0,,,,,,,
A_nuclear_chromatin,1,0,0,0,0,0,0,0,0,,,,,,,
A_dna_damage_response,11,0,0,0,0,0,0,0,0,,,,,,,
A_senescence_curated_nonsecreted,13,0,0,0,0,0,0,0,0,,,,,,,
"A_PHASE7_S10_16 (variant, FAILED)",14,2,0,1,8,1,0,0,12,CDKN1A;GADD45A,,CDKN1A,CDKN1A;CDKN2A;CHEK1;CHEK2;H2AFX;HMGB2;LMNB1;TP53,GADD45A,,
A_ported_pre_disjointness,81,4,0,1,45,2,2,0,54,CCND1;CDKN1A;GADD45A;NFE2L2,,CDKN1A,APEX1;AURKB;BIRC5;BRCA1;BRCA2;BUB1;CBX5;CCNA2;CCNB2;CCND1;CDC20;CDC25A;CDK1;CDKN1A;CDKN1B;CDKN2A;CHAF1A;CHEK1;CHEK2;E2F1;EZH2;H2AFX;HMGA1;HMGB2;LMNB1;MCM2;MCM3;MCM4;MCM5;MCM6;MCM7;MKI67;MRE11;NBN;PCNA;PLK1;RAD50;RPA1;RRM2;SUV39H1;TOP2A;TP53;TYMS;UNG;XRCC6,GADD45A;MCM7,NFE2L2;SESN2,
A_SENDER_FINAL_noB4_noB7 (variant),75,0,0,0,42,0,0,0,42,,,,APEX1;AURKB;BIRC5;BRCA1;BRCA2;BUB1;CBX5;CCNA2;CCNB2;CDC20;CDC25A;CDK1;CDKN1B;CDKN2A;CHAF1A;CHEK1;CHEK2;E2F1;EZH2;H2AFX;HMGA1;HMGB2;LMNB1;MCM2;MCM3;MCM4;MCM5;MCM6;MKI67;MRE11;NBN;PCNA;PLK1;RAD50;RPA1;RRM2;SUV39H1;TOP2A;TP53;TYMS;UNG;XRCC6,,,
A_SENDER_FINAL_noB7 (variant),33,0,0,0,0,0,0,0,0,,,,,,,
A_sender_for_tnfa_nfkb_proximal (sensitivity),77,0,0,0,43,1,1,0,45,,,,APEX1;AURKB;BIRC5;BRCA1;BRCA2;BUB1;CBX5;CCNA2;CCNB2;CDC20;CDC25A;CDK1;CDKN1B;CDKN2A;CHAF1A;CHEK1;CHEK2;E2F1;EZH2;H2AFX;HMGA1;HMGB2;LMNB1;MCM2;MCM3;MCM4;MCM5;MCM6;MCM7;MKI67;MRE11;NBN;PCNA;PLK1;RAD50;RPA1;RRM2;SUV39H1;TOP2A;TP53;TYMS;UNG;XRCC6,MCM7,SESN2,
A_sender_for_il6_jak_stat3 (sensitivity),81,4,0,1,45,2,2,0,54,CCND1;CDKN1A;GADD45A;NFE2L2,,CDKN1A,APEX1;AURKB;BIRC5;BRCA1;BRCA2;BUB1;CBX5;CCNA2;CCNB2;CCND1;CDC20;CDC25A;CDK1;CDKN1A;CDKN1B;CDKN2A;CHAF1A;CHEK1;CHEK2;E2F1;EZH2;H2AFX;HMGA1;HMGB2;LMNB1;MCM2;MCM3;MCM4;MCM5;MCM6;MCM7;MKI67;MRE11;NBN;PCNA;PLK1;RAD50;RPA1;RRM2;SUV39H1;TOP2A;TP53;TYMS;UNG;XRCC6,GADD45A;MCM7,NFE2L2;SESN2,
A_sender_for_interferon_response (sensitivity),80,3,0,0,44,2,2,0,51,CCND1;GADD45A;NFE2L2,,,APEX1;AURKB;BIRC5;BRCA1;BRCA2;BUB1;CBX5;CCNA2;CCNB2;CCND1;CDC20;CDC25A;CDK1;CDKN1B;CDKN2A;CHAF1A;CHEK1;CHEK2;E2F1;EZH2;H2AFX;HMGA1;HMGB2;LMNB1;MCM2;MCM3;MCM4;MCM5;MCM6;MCM7;MKI67;MRE11;NBN;PCNA;PLK1;RAD50;RPA1;RRM2;SUV39H1;TOP2A;TP53;TYMS;UNG;XRCC6,GADD45A;MCM7,NFE2L2;SESN2,
A_sender_for_downstream_arrest (sensitivity),36,2,0,0,0,1,2,0,5,GADD45A;NFE2L2,,,,GADD45A,NFE2L2;SESN2,
A_sender_for_emt_ecm (sensitivity),79,3,0,1,44,0,2,0,50,CCND1;CDKN1A;NFE2L2,,CDKN1A,APEX1;AURKB;BIRC5;BRCA1;BRCA2;BUB1;CBX5;CCNA2;CCNB2;CCND1;CDC20;CDC25A;CDK1;CDKN1A;CDKN1B;CDKN2A;CHAF1A;CHEK1;CHEK2;E2F1;EZH2;H2AFX;HMGA1;HMGB2;LMNB1;MCM2;MCM3;MCM4;MCM5;MCM6;MKI67;MRE11;NBN;PCNA;PLK1;RAD50;RPA1;RRM2;SUV39H1;TOP2A;TP53;TYMS;UNG;XRCC6,,NFE2L2;SESN2,
A_sender_for_oxidative_stress (sensitivity),79,3,0,1,45,2,0,0,51,CCND1;CDKN1A;GADD45A,,CDKN1A,APEX1;AURKB;BIRC5;BRCA1;BRCA2;BUB1;CBX5;CCNA2;CCNB2;CCND1;CDC20;CDC25A;CDK1;CDKN1A;CDKN1B;CDKN2A;CHAF1A;CHEK1;CHEK2;E2F1;EZH2;H2AFX;HMGA1;HMGB2;LMNB1;MCM2;MCM3;MCM4;MCM5;MCM6;MCM7;MKI67;MRE11;NBN;PCNA;PLK1;RAD50;RPA1;RRM2;SUV39H1;TOP2A;TP53;TYMS;UNG;XRCC6,GADD45A;MCM7,,
A_sender_for_secondary_senescence (sensitivity),81,4,0,1,45,2,2,0,54,CCND1;CDKN1A;GADD45A;NFE2L2,,CDKN1A,APEX1;AURKB;BIRC5;BRCA1;BRCA2;BUB1;CBX5;CCNA2;CCNB2;CCND1;CDC20;CDC25A;CDK1;CDKN1A;CDKN1B;CDKN2A;CHAF1A;CHEK1;CHEK2;E2F1;EZH2;H2AFX;HMGA1;HMGB2;LMNB1;MCM2;MCM3;MCM4;MCM5;MCM6;MCM7;MKI67;MRE11;NBN;PCNA;PLK1;RAD50;RPA1;RRM2;SUV39H1;TOP2A;TP53;TYMS;UNG;XRCC6,GADD45A;MCM7,NFE2L2;SESN2,
A_SENDER_FINAL_strict (PRIMARY),33,0,0,0,0,0,0,0,0,,,,,,,
