gene_name,gene_id
A2ML1,ENSG00000166535
AAMP,ENSG00000127837
AAR2,ENSG00000131043
AARSD1,ENSG00000266967
ABAT,ENSG00000183044
ABCA1,ENSG00000165029
ABCA3,ENSG00000167972
ABCA4,ENSG00000198691
ABCA7,ENSG00000064687
ABCB1,ENSG00000085563
ABCB4,ENSG00000005471
ABCB6,ENSG00000115657
ABCC1,ENSG00000103222
ABCC12,ENSG00000140798
ABCC2,ENSG00000023839
ABCC3,ENSG00000108846
ABCC4,ENSG00000125257
ABCC6,ENSG00000091262
ABCC8,ENSG00000006071
ABCC9,ENSG00000069431
ABCD1,ENSG00000101986
ABCD3,ENSG00000117528
ABCD4,ENSG00000119688
ABCF3,ENSG00000161204
ABCG1,ENSG00000160179
ABCG2,ENSG00000118777
ABHD11,ENSG00000106077
ABHD6,ENSG00000163686
ABI3,ENSG00000108798
ABI3BP,ENSG00000154175
ABL1,ENSG00000097007
ABL2,ENSG00000143322
ABO,ENSG00000175164
ABTB1,ENSG00000114626
ABTB2,ENSG00000166016
ACAA2,ENSG00000167315
ACACA,ENSG00000278540
ACACB,ENSG00000076555
ACAP1,ENSG00000072818
ACAP2,ENSG00000114331
ACAT1,ENSG00000075239
ACE,ENSG00000159640
ACE2,ENSG00000130234
ACHE,ENSG00000087085
ACKR2,ENSG00000144648
ACKR3,ENSG00000144476
ACLY,ENSG00000131473
ACOD1,ENSG00000102794
ACP5,ENSG00000102575
ACPP,ENSG00000014257
ACRBP,ENSG00000111644
ACRV1,ENSG00000134940
ACSL4,ENSG00000068366
ACSM2B,ENSG00000066813
ACTBL2,ENSG00000169067
ACTL6A,ENSG00000136518
ACTL7A,ENSG00000187003
ACTN1,ENSG00000072110
ACTN2,ENSG00000077522
ACTN4,ENSG00000130402
ACVR1,ENSG00000115170
ACVR1B,ENSG00000135503
ACVR2A,ENSG00000121989
ACVRL1,ENSG00000139567
ACYP2,ENSG00000170634
ADA,ENSG00000196839
ADAM10,ENSG00000137845
ADAM12,ENSG00000148848
ADAM17,ENSG00000151694
ADAM28,ENSG00000042980
ADAM33,ENSG00000149451
ADAM8,ENSG00000151651
ADAM9,ENSG00000168615
ADAMDEC1,ENSG00000134028
ADAMTS1,ENSG00000154734
ADAMTS12,ENSG00000151388
ADAMTS19,ENSG00000145808
ADAMTS2,ENSG00000087116
ADAMTS4,ENSG00000158859
ADAMTS5,ENSG00000154736
ADAMTSL3,ENSG00000156218
ADAR,ENSG00000160710
ADCY2,ENSG00000078295
ADCYAP1,ENSG00000141433
ADCYAP1R1,ENSG00000078549
ADD1,ENSG00000087274
ADGRA1,ENSG00000197177
ADGRA2,ENSG00000020181
ADGRA3,ENSG00000152990
ADGRB1,ENSG00000181790
